zi	stroke_count	stroke_count_decomposed	mandarin_pinyin	cantonese_pinyin	english	radical	radical_stroke_count	radical_pinyin	radical_english	variant	fc_code	cj_code	leaf_component	zis_with_this_component
渙	12画	水氵氺 + 9	huàn, huì	wun6	scatter; scattered, dispersed 	水/氵/氺	3	shuǐ	water	涣	3713.4	ENBK	氵/奐	
減	12画	水氵氺 + 9	jiǎn	gaam2	decrease, subtract, diminish 	水/氵/氺	3	shuǐ	water	减	3315.0	EIHR	氵/丿/弋/丿/一/口	
渜	12画	水氵氺 + 9	nuǎn	nyun5		水/氵/氺	3	shuǐ	water		3113.4	EMBK	氵/而/大	
渝	12画	水氵氺 + 9	yú	jyu4	change; chongqing 	水/氵/氺	3	shuǐ	water		3812.1	EOMN	氵/人/一/舟巜	蕍
渞	12画	水氵氺 + 9	qiú			水/氵/氺	3	shuǐ	water			ETHU	氵/䒑/目/丶	
渟	12画	水氵氺 + 9	tíng	ting4	(of water) not flowing; clear 	水/氵/氺	3	shuǐ	water		3012.1	EYRN	氵/亠口/一/亅	
渠	11画	木 + 8水氵氺 + 9	qú, jù	keoi4	ditch, canal, channel, gutter 	水/氵/氺	3	shuǐ	water		3190.4	ESD	氵/巨/木	磲,蕖,璖,蟝
渡	12画	水氵氺 + 9	dù	dou6	cross, ferry over; ferry 	水/氵/氺	3	shuǐ	water		3014.7	EITE	氵/广廿/又	
渢	12画	水氵氺 + 9	féng, fēng	fung1	pleasant sound 	水/氵/氺	3	shuǐ	water	沨	3711.0	EHNI	氵/風	
渣	12画	水氵氺 + 9	zhā	zaa1	refuse, dregs, lees, sediment 	水/氵/氺	3	shuǐ	water		3411.6	EDAM	氵/木/日/一	
渤	12画	水氵氺 + 9	bó	but6	swelling; the Gulf of Hopei (Hebei) 	水/氵/氺	3	shuǐ	water		3412.7	EJDS	氵/十/子/力	
渥	12画	水氵氺 + 9	wò, òu, wū	ak1	moisten, soak; great, deep; dye; to enrich 	水/氵/氺	3	shuǐ	water		3711.4	ESMG	氵/尸/一/厶/土	
渦	11画	水氵氺 + 9	wō, guō	gwo1, wo1	swirl, whirlpool, eddy 	水/氵/氺	3	shuǐ	water	涡	3712.7	EBBR	氵/冎/口	
渧	12画	水氵氺 + 9	dì	dai3	to drop, as liquids; a drop 	水/氵/氺	3	shuǐ	water		3012.7	EYBB	氵/亠/八/冂/丨	
渨	12画	水氵氺 + 9	wēi, wěi	wui1	a cove, a bay; a bend or nook in the hills; the curve of a bow 	水/氵/氺	3	shuǐ	water		3613.2	EWMV	氵/田/氏	
温	12画	水氵氺 + 9	wēn, yùn	wan1	lukewarm 	水/氵/氺	3	shuǐ	water	溫	3611.7	EABT	氵/日/皿	蕰
渪	12画	水氵氺 + 9	rú	jyu4		水/氵/氺	3	shuǐ	water			EHLB	氵/丿/虫/⺆	
渫	12画	水氵氺 + 9	xiè, dié, zhá, yì, qiè	sit3	beating of ocean; surging of water 	水/氵/氺	3	shuǐ	water		3419.4	EPTD	氵/世/木	
測	12画	水氵氺 + 9	cè	caak1, cak1	measure, estimate, conjecture 	水/氵/氺	3	shuǐ	water	测	3210.0	EBCN	氵/目/八/刂	
渭	12画	水氵氺 + 9	wèi	wai6	name of a river in Shanxi 	水/氵/氺	3	shuǐ	water		3612.7	EWB	氵/田/月	
渮	11画	水氵氺 + 9	gē	go1	river in Shandong province 	水/氵/氺	3	shuǐ	water		3412.1	ETMR	氵/艹/口/一/亅	
