zi	stroke_count	stroke_count_decomposed	mandarin_pinyin	cantonese_pinyin	english	radical	radical_stroke_count	radical_pinyin	radical_english	variant	fc_code	cj_code	leaf_component	zis_with_this_component
一	1画	一 + 0	yī	jat1	one; a, an; alone 	一	1	yī	one		1000.0	M		本,有,下,页,三,到,会,可,来,所,元,后,性,未,天,给,同,成,再,每,并,列,至,但,友,型,生,頁,篇,真,室,开,证,量,今,爱,何,送,百,城,海,正,打,带,星,光,项,线,夏,知,房,院,副,体,感,啊,給,西,钱,玩,令,拿,短,序,死,屋,酒,评,吃,若,歌,阿,形,厅,合,联,顶,場,布,平,远,含,完,奇,町,随,左,右,具,除,查,师,关,寄,词,例,病,富,味,诚
丁	2画	一 + 1	dīng, zhēng	ding1, zaang1, zang1	male adult; robust, vigorous; 4th heavenly stem 	一	1	yī	one		1020.0	MN	一/亅	可,成,何,城,打,啊,序,歌,阿,厅,顶,奇,町,寄,诚,河,哥,停,预,野,宁,訂,盛,予,誠,灯,订,柯,亭,骑,舒,預,荷,頂,寧,椅,豫,盯,婷,崎,呵,騎,倚,琦,庁,钉,柠,汀,叮,釘,晟,綺,拧,墅,抒,珂,埼,貯,婀,苛,妤,绮,紓,畸,旖,狞,猗,漪,嘢,诃,嗬,纾,錡,蚵,舸,佇,訶,擰,鎶,檸,轲,痾,岢,酊,苧,坷,屙,軻,菏,锕,嵜,杼,葶,仃,渟,咛,铖,欹,筬
丂	2画	一 + 1	kǎo, qiǎo, yú		obstruction of breath (qi) as it seeks release; variant of other characters 	一	1	yī	one			MVS		号,號,考,聘,粤,跨,巧,污,烤,鄂,亏,兮,粵,垮,夸,拷,鳄,饕,顎,骋,誇,鍔,挎,窍,胯,袴,愕,朽,娉,铐,瓠,萼,鶚,銬,匏,颚,锷,雩,騁,鰐,攷,樗,谔,鹗,諤,洘,刳,綔,肟,绔,腭,諡,陓,圬,鴞,栲,俜,荂,扝,甹,咢,桍,鄠,槬,姱,湂,銙,晇,枍,枵,盻,梬,崿,鸮,耉,侤,摴,杇,洿,骻,侉,嫮,汅,飸,釫,咵,蕚,卾,偔,覨,疞,堮,齶,迃,謣,嶀,絝,呺,恗,鴮
七	2画	一 + 1	qī	cat1	seven 	一	1	yī	one		4071.0	JU		切,托,宅,砌,託,彻,皂,窃,叱,吒,沏,姹,亳,詫,诧,咤,侘,乇,苆,唣,仛,侂,巼,讬,虴,秺,奼,兺,挓,唜,矺,籷,旕,嗭,哛,袃,厇,汑,垞,杔,秅,馲,魠,廤,梍,唟,烢,厑,莻,夞,喸,蒊,饦,圫,飥,灹,㡯
丄	2画	一 + 1	shàng, shǎng	soeng5, soeng6	above 	一	1	yī	one			LM		円,猜,倩,菁,睛,靑,淸,蜻,蒨,靕,篟,棈
丅	2画	一 + 1	xià	ti1	under, underneath, below; down; inferior; bring down; used to transliterate the Latin letter 'T' 	一	1	yī	one			XML		
丆	2画	一 + 1			kwukyel 	一	1	yī	one			XMH	一/丿	页,頁,项,顶,頭,順,項,類,顔,预,頃,额,額,题,须,顺,领,題,频,顿,颗,颇,預,願,硕,頂,須,颜,顾,領,顆,倾,烦,頓,頻,顯,颖,颈,頗,顏,顧,瀬,碩,傾,穎,颂,颐,煩,嶺,顷,巅,颠,頸,噸,颤,頬,籲,頒,颁,頌,頼,顎,顕,顽,颊,擷,颍,颅,鬚,頑,撷,癫,巔,顛,蘋,癲,颌,灏,顫,頰,頤,濒,頡,颦,瀕,颓,頷,纈,頹,颧,颉,灝,嚣,颢,囂,纐,頚,顱,颞,颚
万	3画	一 + 2	wàn, mò	maan6, mak6	ten thousand; innumerable 	一	1	yī	one	萬	1022.7	MS		迈,厉,励,栃,砺,趸,蛎,粝,劢,疠,杤,虿,澷,㬅
丈	3画	一 + 2	zhàng	zoeng6	unit of length equal 3.3 meters; gentleman, man, husband 	一	1	yī	one		5000.0	JK		使,仗,杖,吏,扙,粀
三	3画	一 + 2	sān, sàn	saam1, saam3	three 	一	1	yī	one		1010.1	MMM	二/一	兰,栏,烂,拦,疆,闫,僵,叁,薑,仨,缰,彊,閆,殭,韁,橿,弎,礓,叄,疅,畺,繮,壃,麠
上	3画	一 + 2	shàng	soeng5, soeng6	top; superior, highest; go up, send up 	一	1	yī	one		2110.0	YM		让,卡,淑,督,叔,椒,峠,寂,戚,咔,忐,蹙,菽,槭,俶,掓,嘁,埱,裃,仩,婌,仧,佧,慼,垰,踧,磩,尗,蔋,鏚,茮,顣,惄,琡,敊,鮛,桛,鉲,慽,錖,挊,裻,諔,縬,摵,鞐,胩,漃,傶,圵,拤,墄,𠧗
下	3画	一 + 2	xià	haa5, haa6	under, underneath, below; down; inferior; bring down 	一	1	yī	one		1023.0	MY	一/卜	吓,虾,峠,雫,忑,颪,裃,閇,垰,圷,芐,梺,桛,挊,鞐,疜,乤,𠧗
丌	3画	一 + 2	jī	gei1	table 	一	1	yī	one		1022.0	ML		鼻,痹,鼾,濞,畀,齁,擤,箅,淠,劓,鼽,齅,齇,嬶,畁,顨,鼼,齄,齆,睤,齀,腗,襣,綥,嚊,鼿,齂,齃,齉,齈
亐	3画	一 + 2	yú			一	1	yī	one			XXMKS		虧,汚
卄	3画	一 + 2	niàn	jaa6, je6	twenty, twentieth 	一	1	yī	one			JJ		塟
不	4画	一 + 3	bù, fǒu, fōu	bat1, fau2	no, not; un-; negative prefix 	一	1	yī	one		1090.0	MF		还,杯,否,环,坏,怀,歪,盃,呸,胚,甭,丕,痞,坯,吥,罘,苤,孬,钚,奀,邳,囨,鈈,阫,抷,抔,紑,伾,柸,妚,秠,芣,蚽,岯,嚭,肧,鉟,銔,覔,踎,狉,伓,衃,娝,嫑,豾,怌,噽,桮,鴀,駓,俖,魾,炋,脴,髬,㔻
与	3画	一 + 3	yǔ, yù, yú	jyu4, jyu5, jyu6	and; with; to; for; give, grant 	一	1	yī	one	與	2140.7	YSM		写,泻,屿,欤,玙
丏	4画	一 + 3	miǎn	min5	parapet; invisible 	一	1	yī	one		1072.7	MLVS		沔,眄,麪,髩
丐	4画	一 + 3	gài	koi3	beggar; beg; give 	一	1	yī	one		1020.7	MYVS		钙,鈣,麫
丑	4画	一 + 3	chǒu	cau2	clown, comedian; 2nd terrestrial branch 	一	1	yī	one	醜	1710.5	NG		扭,紐,衰,纽,妞,羞,钮,鈕,蓑,衄,簑,粈,忸,杻,榱,滖,馐,饈,狃,鱃,簔,吜,縗,缞,莥,沑,靵,炄
丒	4画	一 + 3	chǒu		the period from 1 to 3 a.m.; 2nd character of the 'branches' 	一	1	yī	one			SKM	刀/丶/一	
专	4画	一 + 3	zhuān	zyun1	monopolize, take sole possession 	一	1	yī	one	專	5030	QNI		转,传,砖,抟,啭
丗	5画	一 + 3	shì		thirty, thirtieth 	一	1	yī	one		4477.0	XTJ		帯
且	5画	一 + 4	qiě, jū	ce2, zeoi1, zoeng1	moreover, also (post-subject); about to, will soon (pre-verb) 	一	1	yī	one		7710.0	BM		组,县,組,助,租,宜,粗,姐,祖,阻,悬,叠,畳,咀,査,疊,谊,誼,锄,狙,鋤,蛆,沮,疽,鎺,俎,詛,趄,苴,雎,曡,舋,抯,徂,岨,菹,勗,诅,砠,龃,亹,袓,伹,柤,萓,殂,鉏,疂,謯,怚,覰,齟,珇,耡,齇,鴡,冝,樝,莇,虘,罝,爼,唨,跙,筯,皻,刞,蒩,驵,笡,斖,竩,椬,坥,豠,飷,駔,靻,蔖,葅,摣,麆,耝
丕	5画	一 + 4	pī	pei1	great, grand, glorious, distinguished 	一	1	yī	one		1010.9	MFM	不/一	呸,胚,坯,苤,邳,抷,伾,柸,秠,蚽,岯,鉟,狉,豾,怌,噽,駓,魾,髬
世	5画	一 + 4	shì	sai3	generation; world; era 	一	1	yī	one		4471.7	PT		碟,葉,蝶,泄,谍,笹,諜,貰,牒,喋,屉,绁,鰈,呭,堞,詍,紲,枻,渫,勩,屟,揲,鍱,牃,蠂,殜,跇,枼,弽,贳,緤,韘,褋,偞,鲽,媟,抴,楪,袣,玴,鐷,怈,迣,僷,蹀,瞸,朑,鞢,艓,惵,疶,勚,煠,幉,鉪,靾,髰,齛,擛,伳
丘	5画	一 + 4	qiū	jau1	hill; elder; empty; a name 	一	1	yī	one		7210.1	OM		兵,岳,邱,宾,缤,滨,浜,乒,鬓,槟,鋲,乓,殡,嫔,膑,摈,坵,蚯,駈,傧,髌,镔,捠,娦,捳,岴,屔,拞,虗,瑸,梹,鬂,茊
丙	5画	一 + 4	bǐng	bing2	third; 3rd heavenly stem 	一	1	yī	one		1022.7	MOB	一/冂/人	病,柄,炳,鞆,邴,昺,昞,蛃,鈵,陃,抦,窉,怲,氞,眪,苪
业	5画	一 + 4	yè	jip6	profession, business; GB radical 111 	一	1	yī	one	業	3210	TC		對,業,显,僕,湿,虚,嘘,壶,噗,撲,凿,顕,濮,璞,樸,戯,墟,觑,蹼,覷,邺,墣,鄴,嶪,歔,彂,纀,譃,懟,薱,鱋,濧,簴,穙,醭,譵,曗,鏷,獛,轐,贌,丵,鸈,嚉,擈,轛,礏,菐,幞,驉,鑆,瞨,虡,镤,澲,驜,嶫,襥,檏,魖,憈,襆,襨
丛	5画	一 + 4	cóng	cung4	bush, shrub; thicket; collection 	一	1	yī	one	叢	8810	OOM	人/一	
东	5画	一 + 4	dōng	dung1	east, eastern, eastward 	一	1	yī	one	東	4090	KD		陈,栋,冻,鸫,岽,胨
丝	5画	一 + 4	sī	si1	silk; fine thread; wire; strings 	一	1	yī	one	絲	2210	VVM		咝,鸶
丞	6画	一 + 5	chéng	sing4	assist, aid, rescue 	一	1	yī	one		1710.3	NEM	乛/水/一	蒸,拯,卺,烝,巹,脀,洆,篜,𦚦
丟	6画	一 + 5	diū	diu1, diu6	discard, reject, lose 	一	1	yī	one	丢	1073.1	HGI	王/厶	
丠	6画	一 + 5	qiū		hill; elder; empty; a name 	一	1	yī	one			LPM	爿?/匕/一	
両	6画	一 + 5	liǎng, liàng	loeng5	two, both, pair, couple; a tael, ounce 	一	1	yī	one		1022.7	MLBU		輌
丢	6画	一 + 5	diū	diu1, diu6	discard 	一	1	yī	one	丟	2073	HGI	丿/士/厶	铥,銩
丣	7画	一 + 6	yǒu	jau5	ancient form of the tenth of the twelve Terrestrial Branches, U+9149 酉 	一	1	yī	one			MLLS		畱,璢,澑,駵,桺,橊,鐂,羀,驑,癅,飅
两	7画	一 + 6	liǎng, liàng	loeng5	two, both, pair, couple; ounce 	一	1	yī	one	兩	1022	MOOB		辆,俩,魉,唡
严	7画	一 + 6	yán	jim4	strict, rigorous, rigid; stern 	一	1	yī	one	嚴	1020	MTCH		俨,酽
丽	7画	一 + 6	lì, lí	lai6	beautiful, magnificent, elegant 	一	1	yī	one	麗	1022	MMBB		麗,曬,俪,灑,儷,郦,骊,欐,驪,酾,逦,鹂,酈,彲,邐,廲,釃,鱺,籭,鲡,鸝,婯,攦,穲,孋,纚,矖,躧,彨,襹,囇
鿖	画	一 + 6				一	1	yī	one					
並	8画	一 + 7	bìng, bàng	bing3, bing6, bong6	equal to; side by side; also, what is more; both 	一	1	yī	one	并	8010.2	TTC	丷/亚	普,碰,谱,譜,踫,鐠,湴,椪,潽,氆,镨,諩,掽
丧	8画	一 + 7	sāng, sàng	song1, song3	mourning; mourn; funeral 	一	1	yī	one	喪	4073	GCV		
鿗	画	一 + 8				一	1	yī	one					
丨	1画	丨 + 0	gǔn	jat1, kwan2	(same as U+3021 HANGZHOU NUMERAL ONE 〡) number one; line; KangXi radical 2 	丨	1	gǔn	line		2000	XL		中,第,用,也,市,个,将,他,地,由,种,通,收,带,声,常,帖,她,神,叫,布,解,装,钟,届,油,师,兩,搜,角,帐,旧,引,迪,帮,甲,帳,降,聘,痛,帅,帶,紧,幅,棒,状,施,邮,師,聲,嘴,贵,冲,希,幕,幫,币,串,申,席,池,勇,帽,滿,举,抽,瘦,眉,临,仲,锦,患,饰,佈,拖,吊,貴,幣,棉,伸,帝,忠,刷,帕,弟,蒂,泽,译,帯,隣,涌,审,桶,妆,闹,沖,贤,蒋,媚,袖
丩	2画	丨 + 1	jiū		to join or connect the vine 	丨	1	gǔn	line			XXVL	丨/丨	收,叫,紧,临,贤,肾,坚,纠,竖,収,糾,铿,悭,赳,荍,訆,虯,鲣,舏,鼼,觓,朻,嘂
个	3画	丨 + 2	gè, gě	go3	numerary adjunct, piece; single 	丨	1	gǔn	line	個	8020.0	OL	人/丨	
丫	3画	丨 + 2	yā	aa1	forked; bifurcation 	丨	1	gǔn	line		8020.0 8020.7	CL		吖
中	4画	丨 + 3	zhōng, zhòng	zung1, zung3	central; center, middle; in the midst of; hit (target); attain 	丨	1	gǔn	line		5000.6	L	口/丨	种,钟,贵,冲,仲,貴,忠,沖,櫃,遗,肿,衷,遺,遣,馈,溃,盅,潰,譴,饋,谴,匱,缱,匮,樻,翀,繾,隤,撌,迚,穨,瞶,狆,聩,鑓,鈡,鐀,儙,簣,璝,忡,愦,訲,憒,祌,鞼,蒉,殨,聵,僓,闠,尵,妕,衶,茽,蚛,蹪,篑,舯,筗,靧,馽,籄,瞆,墤,讉,阓,圚,濻,蕢,瀢,膭,壝,缋,嬇,藬,浺,繢,鑎,嘳,𠀐,𠳋
丮	4画	丨 + 3	jǐ		catch 	丨	1	gǔn	line		1751.0	NQ		谻
丯	4画	丨 + 3	jiè	gaai3	dense 	丨	1	gǔn	line			QJ	彡/丨	
丰	4画	丨 + 3	fēng	fung1	abundant, lush, bountiful, plenty 	丨	1	gǔn	line	豐	5000.0	QJ		帮,峰,邦,艳,慧,寿,逢,锋,涛,缝,契,潔,蜂,铸,筹,绑,蓬,鋒,綁,縫,篷,梆,峯,蚌,喫,烽,楔,鍥,祷,鋳,彗,畴,滟,沣,齧,挈,碶,禊,锲,焘,偰,絜,鎽,囓,俦,砉,妦,梼,緳,櫘,夆,栔,摓,洯,韸,懳,桻,埄,踌,恝,譿,瘛,诪,挷,葜,湱,莑,鏠,垹,剨,暳,韼,熭,觢,幚,篲,槥,盽,玤,帱,鑝,褉,捀,蠭,纄,熢,轊,騞,猰,仹,槰,漨,浲,樥,陦,膖,揳,窫,稧,綘
丱	5画	丨 + 4	guàn	gwaan3	child's hairstyle bound in two tufts; ore 	丨	1	gǔn	line		2277.0	VLLLM		
串	7画	丨 + 6	chuàn, guàn	cyun3, gwaan3	string; relatives; conspire 	丨	1	gǔn	line		5000.6	LL	口/口/丨	患,窜,蹿,撺,漶,鋛,镩,槵,賗,丳,梙,瞣,贃
丳	8画	丨 + 7	chǎn	caan2	spit, grill; a skewer 	丨	1	gǔn	line		5500.6	LLWW	口/口/丨/丿	
临	9画	丨 + 8	lín, lìn	lam4	draw near, approach; descend 	丨	1	gǔn	line	臨	2806	LLOA		
丵	10画	丨 + 9	zhuǒ		thick (grass) 	丨	1	gǔn	line			TCTJ	业/𢆉	對,凿,懟,薱,濧,譵,嚉,轛,鑆,襨
丶	1画	丶 + 0	zhǔ	zyu2	dot; KangXi radical 3 	丶	1	zhǔ	dot		3000.0	XI		的,首,自,主,向,国,道,太,百,原,低,住,宝,夏,热,白,注,約,源,機,户,拍,館,線,食,階,往,息,约,获,玉,永,药,凡,皆,压,底,血,怕,沪,幾,良,熱,状,導,餐,娘,泉,郎,邊,护,愿,哭,仪,犬,幫,驻,狼,柏,宿,伯,响,丸,浪,然,忍,锦,創,碧,拆,術,赢,抵,優,泊,鄉,势,棉,柱,义,哟,朗,燃,恐,述,鼻,皇,獎,臭,突,熟,樣,帕,启,拔,粮,兔,逸,藝,願
丷	2画	丶 + 1	baat3		“ears-out” component used in some Chinese characters (e.g. U+5151 兑); archaic form of U+516B 八; kwukyel, an archaic hanja-based writing system used in Korea before the invention of hangul 	丶	1	zhǔ	dot			XC		为,来,数,并,类,送,米,楼,办,番,並,评,精,联,料,平,奥,关,夹,普,屏,類,粉,兰,迷,翻,苏,栏,澳,播,粗,郑,糖,潘,拼,瓶,腾,評,碰,粒,莱,咪,侠,謎,协,関,弟,粮,遵,氣,隣,尊,坪,鄭,奧,粘,菊,噂,睇,萍,烂,谜,餅,粥,陕,寮,併,递,谱,麟,瞭,糊,饼,伪,释,磷,噢,蕃,睿,釋,審,遼,屡,剃,蹲,咲,籽,鄰,峡,屎,療,粹,糟,喽,譜,幡,拦,撩,悉,璨
丸	3画	丶 + 2	wán	jyun2, jyun4	small round object; pellet, pill 	丶	1	zhǔ	dot		5001.7	KNI	九/丶	热,熱,势,熟,藝,垫,勢,塾,执,墊,執,孰,挚,蛰,亵,摯,摰,褻,纨,贄,笂,贽,紈,芄,蟄,囈,奿,鸷,犱,鷙,槸,埶,謺,骫,絷,槷,縶,汍,訙,肒,爇,秇,驇,釻,漐,慹,騺,暬,蓺,萟,讛,襼,蓻,褹,褺
义	3画	丶 + 2	yì	ji6	right conduct, righteousness 	丶	1	zhǔ	dot	義	4000	IK	乂/丶	仪,议,蚁,舣,紁,肞
丹	4画	丶 + 3	dān	daan1	cinnabar (native HgS); vermilion (artificial HgS used as pigment) 	丶	1	zhǔ	dot		7744.0	BY		彤,坍,旃,栴,砃,浵,玬,鴅,蚒,枬,雘,袇,烿,刐
为	4画	丶 + 3	wèi, wéi	wai4, wai6	do, handle, govern, act; be 	丶	1	zhǔ	dot	為	3402	IKSI	力/丷	伪,妫,沩
主	5画	丶 + 4	zhǔ	zyu2	master, chief owner; host; lord 	丶	1	zhǔ	dot		0010.4	YG	丶/王	住,注,往,驻,柱,註,駐,蛀,拄,炷,麈,紸,暀,宔,疰,鉒,軴,砫,嵀,跓,黈,飳,殶,妵,罜,樦,蘣,迬,霔,乼,䇠
丼	5画	丶 + 4	jǐng	zeng2, zing2	bowl of food; well 	丶	1	zhǔ	dot		5500.0	TTI	井/丶	
举	9画	丶 + 8	jǔ	geoi2	raise, lift up; recommend 	丶	1	zhǔ	dot	舉	9050	FCQ		榉
丿	1画	丿 + 0	piě	pit3	line; KangXi radical 4 	丿	1	piě	slash		2000.0	XL		和,有,第,页,我,者,都,或,成,种,每,省,友,頁,找,少,千,私,系,重,爱,城,海,项,老,科,线,知,笑,秒,利,群,感,番,钱,話,委,越,短,必,吃,若,機,著,種,顶,称,布,教,秀,随,左,國,右,任,香,君,程,诚,秋,属,頭,順,话,項,插,活,稿,類,縣,考,密,哦,族,战,藏,伊,租,株,智,顔,沙,铁,税,预,威,翻,桥,载,頃,戴,朱,乱,動,透,幾,梅,耗,係,宏
乀	1画	丿 + 0	fú		stretch 	丿	1	piě	slash			XMO		剱,靱,劔,仭,釼,刄,扨,剏,衂
乁	1画	丿 + 0	yí			丿	1	piě	slash			XXMO		讯,訊,迅,虱,汛,尐,蝨,茕,鳵,煢,厾,亪,軐,鲺,籸,丮,扟,卂,阠,谻,鯴
乂	2画	丿 + 1	yì	ngaai6	govern, control, manage; nurture 	丿	1	piě	slash		4000.0	K		区,风,离,気,史,欧,學,胸,刚,杀,赵,艾,仪,希,驱,钢,飘,脑,禽,义,離,岗,疯,议,枫,殺,稀,哎,覺,凶,烯,攀,驶,樊,岚,冈,刹,纲,飚,擒,殴,兇,飙,飓,駛,驳,肴,鸥,刈,漓,攪,酗,駁,抠,蚁,恼,璃,瓯,躯,呕,駆,篱,剎,枢,籬,浠,弑,敎,鐢,讽,爻,匈,鍐,噙,沤,鴎,郗,苅,弒,唏,晞,砜,飒,螭,飕,魑,飑,欷,淆,黐,洶,匁,崤,蝬,奁,灕,舣,礬,郄,鑻
乃	2画	丿 + 1	nǎi	naai5, oi2	then; really, indeed; as it turned out, after all; namely 	丿	1	piě	slash		1722.7	NHS		及,级,仍,秀,极,級,透,圾,吸,奶,携,盈,诱,扔,孕,绣,笈,锈,誘,汲,銹,隽,扱,琇,楹,莠,尕,氖,綉,鎸,镌,鼐,礽,趿,芨,艿,朶,忣,彶,訯,岌,躱,衱,頺,砐,岋,伋,跥,呄,桗,垜,璓,尮,挅,釢,昅,蜏,雭,戤,刴,唀,觙,鈒,屷,夃,疓,靸,槜,芿,莻,盁,萾,辸,魥,馺,钑,溋
乄	2画	丿 + 1			SHIME: to find a place to dwell; sum; a measurement of paper; SHITE to do; (not to be confused with U3024 HANGZHOU NUMERAL FIVE) 	丿	1	piě	slash			XXKU		腦,瑙,惱,蓖,篦,貔,硇,媲,囟,碯,膍,罓,磇,螕,鎞,匘,恖,顖,堖,𡿺,𣬉
久	3画	丿 + 2	jiǔ	gau2	long time (ago); time passage, grow late 	丿	1	piě	slash		2780.0	NO		畝,玖,灸,柩,疚,粂,镹,湵,羑,杦,畂,匛,奺,畞,汣,羐
乆	3画	丿 + 2	jiǔ		long time (ago); time passage, grow late 	丿	1	piě	slash			VO		
乇	3画	丿 + 2	zhé, nüè, zhè, tuō	tok3, zaak6	to depend on, to entrust with 	丿	1	piě	slash		2071.4	HP	丿/七	托,宅,託,吒,姹,亳,詫,诧,咤,侘,仛,侂,讬,虴,秺,奼,挓,矺,籷,厇,汑,垞,杔,秅,馲,魠,烢,饦,圫,飥,灹,㡯
么	3画	丿 + 2	yāo, mo, me, ma, mǒ	jiu1, mo1	interrogative particle; repetition of a tune small; tender 	丿	1	piě	slash	幺	2073.2	HI	丿/厶	麽,嬷,仫,懡,庅
乊	3画	丿 + 2			kwukyel 	丿	1	piě	slash			HC	丿/丷	乥
之	3画	丿 + 3	zhī	zi1	marks preceding phrase as modifier of following phrase; it, him her, them; go to 	丿	1	piě	slash		3030.7	INO		芝,泛,乏,眨,贬,貶,砭,鴔,抸,柉,窆,姂,徔,覂,疺,椘
乌	4画	丿 + 3	wū, wù	wu1	crow, rook, raven; black, dark 	丿	1	piě	slash	烏	2712	PVSM		岛,呜,捣,钨,坞,枭,邬,凫
尹	4画	丿 + 3	yǐn	wan5	govern; oversee; director 	丿	1	piě	slash		1750.7	SK		群,君,伊,郡,裙,笋,窘,咿,珺,捃,鵘,莙,羣,覠,芛,帬,僒,洢,麏,吚,涒,頵,峮,宭,焄,桾,裠,蔒,輑,侰,鮶,鲪,蛜
乍	5画	丿 + 4	zhà, zuò	zaa3, zaa6, zok3	first time, for the first time 	丿	1	piě	slash		8021.1	HS		作,昨,怎,炸,咋,窄,酢,榨,诈,詐,搾,祚,柞,蚱,怍,胙,鮓,迮,岝,笮,苲,岞,醡,阼,鈼,秨,痄,鲊,砟,筰,拃,舴,飵,宱,厏,莋,妰,泎,葄,葃,齚
乎	5画	丿 + 4	hū, hú	fu1, fu4, wu4	interrogative or exclamatory final particle 	丿	1	piě	slash		2040.9	HFD		呼,罅,垀,滹,謼,鏬,轷,苸,雽,歑,軤,烀,虖,嚹,泘,乯,嘑,嫭,摢
乏	4画	丿 + 4	fá	fat6	lack; poor 	丿	1	piě	slash		2030.7	HINO	丿/之	泛,眨,贬,貶,砭,鴔,抸,柉,窆,姂,覂,疺
乐	5画	丿 + 4	lè, yuè, yào, luò, liáo	lok6, ngok6	happy, glad; enjoyable; music 	丿	1	piě	slash	樂	7290	HVD		烁,砾,栎,泺,铄,轹,跞
乑	6画	丿 + 5	zhòng	jam4	stand side by side 	丿	1	piě	slash			OHHO		聚,骤,衆,驟,鄹,藂,潨
乒	6画	丿 + 5	pīng	bing1, ping1	used with “pong” (U+4E53 乓) for “ping pong” 	丿	1	piě	slash		7220.1	OMH	丘/丿	
乓	6画	丿 + 5	pāng, pang	bam1, pong1	used with “ping” (U+4E52 乒) for “ping pong” 	丿	1	piě	slash		7203.1	OMI	丘/丶	
乔	6画	丿 + 5	qiáo	kiu4	tall, lofty; proud, stately 	丿	1	piě	slash	喬	2022	HKLL	丿/大/儿	桥,娇,侨,骄,轿,矫,荞,硚,峤,挢,鞒
乕	7画	丿 + 6	hǔ		tiger; brave, fierce; surname 	丿	1	piě	slash		7222.7	HQB		逓
乖	8画	丿 + 7	guāi	gwaai1	rebel; crafty, shrewd 	丿	1	piě	slash		2011.1	HJLP	丿/十/爿?/匕	
乗	9画	丿 + 8	chéng, shèng		ride, ascend; avail oneself of; numerary adjunct for vehicles 	丿	1	piě	slash		2090.4	HDT		剰
乘	10画	丿 + 9	chéng, shèng	sing4, sing6	ride, ascend; avail oneself of; numerary adjunct for vehicles 	丿	1	piě	slash		2090.1	HDLP	丿/木/爿?/匕	剩,嵊,騬,塖,溗
乙	1画	乙乚 + 0	yǐ	jyut3, jyut6	second; 2nd heavenly stem 	乙/乚	1	yǐ	second		1771.0	NU		吃,亿,艺,挖,乾,迄,忆,焉,乞,嫣,鄢,屹,蔫,讫,訖,仡,虼,忔,钇,呓,墘,疙,氹,犵,圪,紇,汔,扢,釔,篶,舃,纥,阸,趷,穵,釳,軶,矻,嘕,齕,盵,肐,漹,乶,刉,朰,麧,籺,杚,戹,乷,乽,傿,豟,乮,乧,乭,肊,漧,乻,亁,阣,乥,乯,乫,鳦,乺,墕,龁,砨,呝,乪,乤,乴,乬,乲,乼,𠧒,𤆛
乚	1画	乙乚 + 0	yǐn	jan2, jyut3	hidden, mysterious, secret; to conceal; small; minute 	乙/乚	1	yǐ	second			XU		电,越,值,置,直,電,望,忘,乱,俺,聽,乳,忙,礼,孔,値,扎,赢,亂,亡,植,廳,荒,庵,甩,绳,吼,掩,滝,竜,贏,札,盲,慌,淹,芒,轧,妄,紮,瀛,腌,谎,殖,蝇,閹,茫,篭,鹌,軋,辄,嬴,謊,虬,矗,醃,輒,奄,羸,阉,菴,樾,氓,乩,虻,槞,邙,钺,肓,渑,埴,鉞,鼋,侫,唵,悳,罨,糺,鵪,蠃,臫,芤,鼍,稙,莣,紥,巟,臝,牤,釓,恾,徝,鋩,晻,鼌,痷,笀,蝱,钆,馣,甿
乛	1画	乙乚 + 0			kwukyel 	乙/乚	1	yǐ	second			XN		快,买,读,卖,块,缺,续,决,吳,決,誤,蒸,虞,丞,窦,赎,呉,筷,诀,娛,訣,袂,渎,犊,拯,炔,抉,牍,卺,椟,娯,烝,玦,夬,蚗,洖,氶,赽,荬,巹,鋘,妜,鴃,澞,觌,脀,疦,黩,鸆,觖,吷,悞,趹,洆,鴂,鈌,駃,噳,篜,蒛,砄,俁,巪,芵,刔,𦚦
乜	2画	乙乚 + 1	miē, niè	mat1, me1, me2, me5, mi1, ne6	to squint; (Cant.) what? huh? 	乙/乚	1	yǐ	second		4771.2	PN		也,他,地,她,施,池,拖,驰,馳,牠,迤,弛,祂,哋,釶,吔,鍦,衪,葹,酏,沲,髢,揓,虵,忚,絁,匜,箷,灺,怹,暆,胣,扡,迆,粚,逇,毑,訑,炧,崺,狏,袘,柂,杝,乸,筂,咃,阤,竾,陁,彵,駞,湤,貤,砤,肔,鉇,椸,㐌
九	2画	乙乚 + 1	jiǔ	gau2	nine 	乙/乚	1	yǐ	second		4001.7	KN		热,熱,杂,丸,究,势,熟,染,藝,旭,枠,垫,勢,塾,仇,执,尻,墊,雑,執,轨,粋,孰,鳩,酔,軌,鸠,挚,砕,蛰,亵,摯,摰,褻,宄,纨,贄,笂,贽,紈,馗,芄,蟄,匦,旮,囈,忰,旯,奿,鸷,犱,匭,鼽,鷙,扏,埶,槸,謺,艽,骫,絷,槷,叴,卆,骩,虓,翆,縶,疩,紣,汍,泦,訙,肒,伜,氿,爇,秇,犰,驇,朹,勼,頄,訄,釻,媣,漐,厹,慹,釚,騺,暬,髛,肍,蓺,萟,訅,讛,襼,蒅
